state,county,per_100000_population,gender,race,location,latitude_longitude
al,macon county,555.7,overall,overall,1087,32393582 8569193
al,madison county,387.1,overall,overall,1089,34765116 86548305
al,marengo county,550.4,overall,overall,1091,32252503 87787786
al,marion county,570.4,overall,overall,1093,34140618 87885921
al,marshall county,507.7,overall,overall,1095,34373461 86301726
al,mobile county,446.2,overall,overall,1097,30801931 88209318
al,monroe county,393.7,overall,overall,1099,3157641 87363884
al,montgomery county,361.2,overall,overall,1101,3222779 86207305
al,morgan county,467.5,overall,overall,1103,3445678 86853086
al,perry county,543.2,overall,overall,1105,32640101 87292576
al,pickens county,463.2,overall,overall,1107,33285701 88089005
al,pike county,423.1,overall,overall,1109,31809652 8594098
al,randolph county,561.9,overall,overall,1111,33302268 8545696
al,russell county,353.5,overall,overall,1113,32294434 85183533
al,st clair county,441.3,overall,overall,1115,33714796 86317073
al,shelby county,307.3,overall,overall,1117,33272349 86662124
al,sumter county,485.5,overall,overall,1119,32592159 88198779
al,talladega county,464.0,overall,overall,1121,3338655 86165729
al,tallapoosa county,436.8,overall,overall,1123,32870228 85796142
al,tuscaloosa county,415.2,overall,overall,1125,33297694 87520245
al,walker county,668.2,overall,overall,1127,33808663 87297984
al,washington county,514.9,overall,overall,1129,31414015 88206517
al,wilcox county,758.0,overall,overall,1131,31997603 87309377
al,winston county,442.8,overall,overall,1133,34155045 87372984
al,autauga county,533.8,male,overall,1001,32540743 86642658
al,baldwin county,482.4,male,overall,1003,3074338 87725037
al,barbour county,630.4,male,overall,1005,31875526 85392733
al,bibb county,555.4,male,overall,1007,32999586 87128286
al,blount county,506.2,male,overall,1009,339833 86566107
al,bullock county,504.0,male,overall,1011,32105445 85716374
al,butler county,570.6,male,overall,1013,31756743 86685543
al,calhoun county,726.4,male,overall,1015,33776116 85827265
al,chambers county,500.3,male,overall,1017,32918605 85389755
al,cherokee county,598.0,male,overall,1019,34175592 8560109
al,chilton county,632.0,male,overall,1021,3285542 86717847
al,choctaw county,661.8,male,overall,1023,32023039 88263625
al,clarke county,595.1,male,overall,1025,31685276 87828202
al,clay county,615.6,male,overall,1027,33275512 85861243
al,cleburne county,659.5,male,overall,1029,33676437 85521058
al,coffee county,521.2,male,overall,1031,31408678 85987616
al,colbert county,672.7,male,overall,1033,34700954 87805794
al,conecuh county,581.4,male,overall,1035,31436316 86992084
al,coosa county,567.5,male,overall,1037,32940608 86246358
al,covington county,646.4,male,overall,1039,31249891 86449316
al,crenshaw county,654.0,male,overall,1041,31738498 86315231
al,cullman county,470.3,male,overall,1043,34135642 86864859
al,dale county,556.0,male,overall,1045,31437921 85612525
al,dallas county,719.4,male,overall,1047,32331714 87103947
al,dekalb county,679.9,male,overall,1049,34462067 85803144
al,elmore county,569.5,male,overall,1051,32599774 86150224
al,escambia county,570.6,male,overall,1053,31133221 87162551
al,etowah county,700.8,male,overall,1055,34048713 86037592
al,fayette county,622.9,male,overall,1057,33726047 87737656
al,franklin county,650.5,male,overall,1059,34445544 87843784
al,geneva county,568.6,male,overall,1061,31100302 85833243
al,greene county,615.7,male,overall,1063,32861522 879517
al,hale county,594.0,male,overall,1065,32769973 87626815
al,henry county,545.9,male,overall,1067,31528365 85241061
al,houston county,455.6,male,overall,1069,31163114 85295081
al,jackson county,634.6,male,overall,1071,34784419 85993741
al,jefferson county,491.6,male,overall,1073,33558145 86898116
al,lamar county,598.2,male,overall,1075,3378226 88094104
al,lauderdale county,477.9,male,overall,1077,34905347 87644897
al,lawrence county,592.8,male,overall,1079,34524888 87309085
al,lee county,457.3,male,overall,1081,32605632 85354778
al,limestone county,550.9,male,overall,1083,34816826 86981625
al,lowndes county,501.6,male,overall,1085,32160667 86649084
al,macon county,711.0,male,overall,1087,32393582 8569193
al,madison county,477.4,male,overall,1089,34765116 86548305
al,marengo county,651.2,male,overall,1091,32252503 87787786
al,marion county,668.5,male,overall,1093,34140618 87885921
al,marshall county,639.2,male,overall,1095,34373461 86301726
al,mobile county,571.6,male,overall,1097,30801931 88209318
al,monroe county,484.5,male,overall,1099,3157641 87363884
al,montgomery county,475.6,male,overall,1101,3222779 86207305
al,morgan county,566.8,male,overall,1103,3445678 86853086
al,perry county,660.3,male,overall,1105,32640101 87292576
al,pickens county,589.5,male,overall,1107,33285701 88089005
al,pike county,486.3,male,overall,1109,31809652 8594098
al,randolph county,678.0,male,overall,1111,33302268 8545696
al,russell county,438.7,male,overall,1113,32294434 85183533
al,st clair county,564.3,male,overall,1115,33714796 86317073
al,shelby county,377.9,male,overall,1117,33272349 86662124
al,sumter county,600.7,male,overall,1119,32592159 88198779
al,talladega county,502.1,male,overall,1121,3338655 86165729
al,tallapoosa county,525.2,male,overall,1123,32870228 85796142
al,tuscaloosa county,546.6,male,overall,1125,33297694 87520245
al,walker county,761.5,male,overall,1127,33808663 87297984
al,washington county,608.1,male,overall,1129,31414015 88206517
al,wilcox county,814.5,male,overall,1131,31997603 87309377
al,winston county,476.4,male,overall,1133,34155045 87372984
al,autauga county,337.0,female,overall,1001,32540743 86642658
al,baldwin county,302.3,female,overall,1003,3074338 87725037
al,barbour county,356.0,female,overall,1005,31875526 85392733
al,bibb county,325.7,female,overall,1007,32999586 87128286
al,blount county,333.5,female,overall,1009,339833 86566107
al,bullock county,340.9,female,overall,1011,32105445 85716374
al,butler county,392.6,female,overall,1013,31756743 86685543
al,calhoun county,470.3,female,overall,1015,33776116 85827265
al,chambers county,313.2,female,overall,1017,32918605 85389755
al,cherokee county,422.4,female,overall,1019,34175592 8560109
al,chilton county,440.2,female,overall,1021,3285542 86717847
al,choctaw county,430.9,female,overall,1023,32023039 88263625
al,clarke county,341.3,female,overall,1025,31685276 87828202
al,clay county,464.2,female,overall,1027,33275512 85861243
al,cleburne county,442.5,female,overall,1029,33676437 85521058
al,coffee county,352.9,female,overall,1031,31408678 85987616
al,colbert county,427.1,female,overall,1033,34700954 87805794
al,conecuh county,384.1,female,overall,1035,31436316 86992084
al,coosa county,345.1,female,overall,1037,32940608 86246358
al,covington county,368.3,female,overall,1039,31249891 86449316
al,crenshaw county,342.1,female,overall,1041,31738498 86315231
al,cullman county,397.3,female,overall,1043,34135642 86864859
al,dale county,334.9,female,overall,1045,31437921 85612525
al,dallas county,475.6,female,overall,1047,32331714 87103947
al,dekalb county,434.5,female,overall,1049,34462067 85803144
al,elmore county,364.0,female,overall,1051,32599774 86150224
al,escambia county,356.9,female,overall,1053,31133221 87162551
al,etowah county,439.9,female,overall,1055,34048713 86037592
al,fayette county,338.9,female,overall,1057,33726047 87737656
al,franklin county,427.2,female,overall,1059,34445544 87843784
al,geneva county,335.2,female,overall,1061,31100302 85833243
al,greene county,353.1,female,overall,1063,32861522 879517
al,hale county,387.3,female,overall,1065,32769973 87626815
al,henry county,331.7,female,overall,1067,31528365 85241061
al,houston county,319.1,female,overall,1069,31163114 85295081
al,jackson county,404.2,female,overall,1071,34784419 85993741
al,jefferson county,306.1,female,overall,1073,33558145 86898116
al,lamar county,380.8,female,overall,1075,3378226 88094104
al,lauderdale county,331.6,female,overall,1077,34905347 87644897
al,lawrence county,402.5,female,overall,1079,34524888 87309085
al,lee county,305.5,female,overall,1081,32605632 85354778
al,limestone county,365.9,female,overall,1083,34816826 86981625
al,lowndes county,399.5,female,overall,1085,32160667 86649084
al,macon county,376.7,female,overall,1087,32393582 8569193
al,madison county,316.8,female,overall,1089,34765116 86548305
al,marengo county,475.7,female,overall,1091,32252503 87787786
al,marion county,476.1,female,overall,1093,34140618 87885921
al,marshall county,400.6,female,overall,1095,34373461 86301726
al,mobile county,352.3,female,overall,1097,30801931 88209318
al,monroe county,328.3,female,overall,1099,3157641 87363884
al,montgomery county,281.2,female,overall,1101,3222779 86207305
al,morgan county,383.8,female,overall,1103,3445678 86853086
al,perry county,446.8,female,overall,1105,32640101 87292576
al,pickens county,333.7,female,overall,1107,33285701 88089005
al,pike county,352.6,female,overall,1109,31809652 8594098
